,,accuracy_seen_avg,ece_seen_avg,ece_seen_avg
,,max,min,count
dataset,method,,,
cifar100,ball,0.6346467137336731,0.0372479515110214,15
cifar100,clora,0.6316847205162048,0.0333575813958399,10
cifar100,ewc,0.4484633505344391,0.0595061997727897,10
cifar100,inflora,0.5445083379745483,0.0404911986030023,10
cifar100,joint,0.7605999708175659,0.0099597844719886,7
cifar100,lora,0.3792851567268371,0.0843861309039488,10
cifar100,rwalk,0.6446234583854675,0.1197485711853709,15
cifar100,sdlora,0.5452308654785156,0.0292741498705712,10
cifar100,tball,0.6194308996200562,0.0271279121091587,15
core50,ball,0.5463298559188843,0.0618032290054785,14
core50,clora,0.4937170445919037,0.1292234351396705,10
core50,ewc,0.3001855611801147,0.2526147977780108,10
core50,inflora,0.3192588686943054,0.3353140662596187,10
core50,joint,0.4487999975681305,0.2164945114850997,10
core50,lora,0.2837217152118683,0.2680272909216318,10
core50,rwalk,0.4636256098747253,0.0077267934419494,10
core50,sdlora,0.5578397512435913,0.0388216986721292,10
core50,tball,0.5970028638839722,0.0604509281274065,11
imagenetr,ball,0.5116440057754517,0.0420304277143299,10
imagenetr,clora,0.5144646763801575,0.0424340750817842,10
imagenetr,ewc,0.3435105085372925,0.041192597949689,10
imagenetr,inflora,0.4455839991569519,0.0482313569121453,10
imagenetr,joint,0.6420833468437195,0.019825571787854,10
imagenetr,lora,0.2946020364761352,0.0789273075170176,10
imagenetr,rwalk,0.4009348750114441,0.3285637680831914,10
imagenetr,sdlora,0.4822928011417389,0.0471206304227517,10
imagenetr,tball,0.5073332786560059,0.0398512835555905,10
