number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,state
0,0.8104382753372192,0.10315317405770334,2025-10-31 01:41:57,2025-10-31 02:24:51,0 days 00:42:54,0.003956553920336533,COMPLETE
1,0.5392690896987915,0.11309030747541735,2025-10-31 02:24:51,2025-10-31 03:07:49,0 days 00:42:58,0.008753776575397073,COMPLETE
2,0.8133797645568848,0.10465159842304224,2025-10-31 02:32:53,2025-10-31 03:08:45,0 days 00:35:52,0.004054058398055799,COMPLETE
3,0.8753973245620728,0.02320583108538154,2025-10-31 03:07:49,2025-10-31 03:50:54,0 days 00:43:05,0.00027520783976210005,COMPLETE
4,0.859481155872345,0.045064387807326,2025-10-31 03:08:45,2025-10-31 03:44:39,0 days 00:35:54,0.0014701137217961822,COMPLETE
5,0.8610788583755493,0.044416779811243444,2025-10-31 03:44:39,2025-10-31 04:20:36,0 days 00:35:57,0.00017206946879845796,COMPLETE
6,0.8607407808303833,0.024712909465224565,2025-10-31 03:50:54,2025-10-31 04:34:04,0 days 00:43:10,0.00022790875168382253,COMPLETE
7,0.8473454713821411,0.064962253287793,2025-10-31 04:20:36,2025-10-31 04:56:39,0 days 00:36:03,0.00012411495337826157,COMPLETE
8,0.8423290252685547,0.06825737466639904,2025-10-31 04:34:04,2025-10-31 05:17:07,0 days 00:43:03,0.00010808017028241861,COMPLETE
9,0.8705660104751587,0.02302771763886552,2025-10-31 04:56:39,2025-10-31 05:32:33,0 days 00:35:54,0.00026761319384562395,COMPLETE
10,0.8683584928512573,0.01761471473838357,2025-10-31 05:17:07,2025-10-31 06:00:12,0 days 00:43:05,0.0003338921992598019,COMPLETE
11,0.8732074499130249,0.01616796210972295,2025-10-31 05:32:33,2025-10-31 06:08:31,0 days 00:35:58,0.0005302576023275122,COMPLETE
12,0.8725795745849609,0.02403020894428262,2025-10-31 06:00:12,2025-10-31 06:43:20,0 days 00:43:08,0.0006746383424623834,COMPLETE
13,0.8753888010978699,0.018145819429560003,2025-10-31 06:08:31,2025-10-31 06:44:30,0 days 00:35:59,0.0006562900672329515,COMPLETE
14,0.8724581599235535,0.02551410054534294,2025-10-31 06:43:20,2025-10-31 07:26:23,0 days 00:43:03,0.0007618812599193102,COMPLETE
