number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,params_rwalk.ewc_alpha,params_rwalk.ewc_lambda,state
0,0.8489869236946106,0.020219371304109737,2025-10-31 16:02:29,2025-10-31 18:26:51,0 days 02:24:22,0.00046015999501769657,0.7216153720796074,0.703073630970297,COMPLETE
1,0.866909384727478,0.016746531142906505,2025-10-31 17:26:14,2025-10-31 20:22:05,0 days 02:55:51,0.0004782862019496781,0.017635521179997893,0.5245112496575811,COMPLETE
2,0.881250262260437,0.020332428594424225,2025-10-31 18:26:51,2025-10-31 20:51:13,0 days 02:24:22,0.0008577079838833127,0.7665179028173577,0.36502234198282857,COMPLETE
3,0.7185789346694946,0.13566404140112326,2025-10-31 20:22:05,2025-10-31 23:17:53,0 days 02:55:48,0.006152540294814395,0.6873298340569969,0.5192502929877642,COMPLETE
4,0.7177501320838928,0.06270872996284439,2025-10-31 20:51:13,2025-10-31 23:15:40,0 days 02:24:27,0.00017857584829842764,0.41469722235449813,0.12168713818527299,COMPLETE
5,0.8580099940299988,0.019585595755849693,2025-10-31 23:15:40,2025-11-01 01:40:09,0 days 02:24:29,0.0004649951593057693,0.17694138363568868,0.7987970839070426,COMPLETE
6,0.8742355108261108,0.024745477927529933,2025-10-31 23:17:53,2025-11-01 02:13:39,0 days 02:55:46,0.0008678846238339844,0.42413445879644196,0.9695075026119929,COMPLETE
7,0.7736603021621704,0.022025163003534194,2025-11-01 01:40:09,2025-11-01 04:04:34,0 days 02:24:25,0.00021122396426026985,0.5823617497786683,0.4683116085533251,COMPLETE
8,0.8322991132736206,0.07021045050897365,2025-11-01 02:13:39,2025-11-01 05:09:22,0 days 02:55:43,0.003115759176332527,0.5305750910990236,0.8486526445384405,COMPLETE
9,0.6249176859855652,0.11589547958567233,2025-11-01 04:04:34,2025-11-01 06:28:47,0 days 02:24:13,0.0001186549543530106,0.8727687557741785,0.18998984335288516,COMPLETE
10,0.7460752129554749,0.04837447201232088,2025-11-01 05:09:22,2025-11-01 08:04:57,0 days 02:55:35,0.00015192656696205845,0.5912120932840114,0.43191153038660024,COMPLETE
11,0.8595579266548157,0.04889662500588603,2025-11-01 06:28:47,2025-11-01 08:53:17,0 days 02:24:30,0.0018336958781273226,0.03174265039882004,0.6077217224123157,COMPLETE
12,0.8652666211128235,0.044789422688304534,2025-11-01 08:04:57,2025-11-01 11:00:42,0 days 02:55:45,0.0017844738650473868,0.03668419174568527,0.30096943786711056,COMPLETE
13,0.8645648956298828,0.017702274998828992,2025-11-01 08:53:17,2025-11-01 11:17:57,0 days 02:24:40,0.0005397917361029258,0.2417191504671433,0.2902486919708915,COMPLETE
14,0.7653483748435974,0.060774080880617656,2025-11-01 11:00:42,2025-11-01 13:56:29,0 days 02:55:47,0.00040487146923574586,0.2965555148074337,0.01563276461291807,COMPLETE
