number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,params_strategy.alpha,params_strategy.beta,state
0,0.7282389998435974,0.08566592680991167,2025-11-01 12:39:53,2025-11-01 15:47:37,0 days 03:07:44,0.0025396902844480496,0.523736091977687,0.2799120693495605,COMPLETE
1,0.8115280866622925,0.02392928015455225,2025-11-01 13:56:38,2025-11-01 17:36:11,0 days 03:39:33,0.0004376273061701372,0.12682416164763033,0.29106934230316617,COMPLETE
2,0.8250278234481812,0.05171395554324718,2025-11-01 15:47:37,2025-11-01 18:56:27,0 days 03:08:50,0.00013471958676355847,0.9007003917494861,0.8691364623301648,COMPLETE
3,0.8277966380119324,0.030412823676936422,2025-11-01 17:36:11,2025-11-01 21:16:21,0 days 03:40:10,0.00020455478687315785,0.1294934069686099,0.6311781208684193,COMPLETE
4,0.6903494596481323,0.07408463899364603,2025-11-01 18:56:27,2025-11-01 22:04:28,0 days 03:08:01,0.004830451410628029,0.2938506734864388,0.19769597053056787,COMPLETE
5,0.7055132985115051,0.07927058806744462,2025-11-01 21:16:21,2025-11-02 00:56:04,0 days 03:39:43,0.00412587058265862,0.12075140400737294,0.7380786940975131,COMPLETE
6,0.8281491994857788,0.05179797522220771,2025-11-01 22:04:28,2025-11-02 01:12:32,0 days 03:08:04,0.00011603007088946644,0.26431803583301816,0.2568694309259938,COMPLETE
7,0.8195480108261108,0.03068793614114005,2025-11-02 00:56:04,2025-11-02 04:35:49,0 days 03:39:45,0.00027268503091659475,0.46707085532208736,0.8112549129342428,COMPLETE
8,0.7770004868507385,0.04818662876697328,2025-11-02 01:12:32,2025-11-02 04:20:07,0 days 03:07:35,0.001264751486522366,0.24236791442602112,0.23766749539928322,COMPLETE
9,0.8150332570075989,0.02707032350769168,2025-11-02 04:20:07,2025-11-02 07:28:24,0 days 03:08:17,0.0003659319685181759,0.38263083259330355,0.6743441044121699,COMPLETE
10,0.7015622854232788,0.08024096255337203,2025-11-02 04:35:49,2025-11-02 08:16:17,0 days 03:40:28,0.0044540688088712055,0.30031784266530914,0.8595968156871527,COMPLETE
11,0.7638055086135864,0.08542370883173936,2025-11-02 07:28:24,2025-11-02 10:36:46,0 days 03:08:22,0.0006969441884357155,0.0010983610315359327,0.01955763861160731,COMPLETE
12,0.7874900698661804,0.05225196313666873,2025-11-02 08:16:17,2025-11-02 11:56:44,0 days 03:40:27,0.0006300144191725472,0.014640210933365011,0.4840674107419285,COMPLETE
13,0.7943770289421082,0.028943322077438705,2025-11-02 10:36:46,2025-11-02 13:45:53,0 days 03:09:07,0.0005623687592755328,0.6479437889396202,0.4893491690012962,COMPLETE
14,0.7535969018936157,0.05939500284692095,2025-11-02 11:56:44,2025-11-02 15:37:20,0 days 03:40:36,0.0014199409195394912,0.7259786155314667,0.48823250327578227,COMPLETE
